,Date (day),Tick,Total Swap Fees Earned (USDC),Representative Liquidity,Daily % Return
73,2024-08-01,195665,189.015783972,7.367199859962146e+18,2.5656394229132698e-15
75,2024-08-01,195667,155.63769744,7.303725610782998e+18,2.1309357132779094e-15
77,2024-08-01,195669,207.644870409,7.303725610782998e+18,2.842999333140876e-15
79,2024-08-01,195672,652.209628788,7.306326835323772e+18,8.926641847374982e-15
81,2024-08-01,195677,152.146022388,7.298523161701447e+18,2.084613818674673e-15
82,2024-08-01,195678,237.549602541,7.314130508946098e+18,3.247817389236452e-15
84,2024-08-01,195680,57.516311415,7.314130508946098e+18,7.863725065426483e-16
86,2024-08-01,195682,213.639063456,7.298523161701447e+18,2.9271546958576214e-15
88,2024-08-01,195685,263.371146528,7.298523161701447e+18,3.608553959382139e-15
89,2024-08-01,195686,222.83400639599998,7.298523161701447e+18,3.053138305641171e-15
92,2024-08-01,195690,202.66694529300003,7.298523161701447e+18,2.7768212938815134e-15
93,2024-08-01,195691,2226.2448554760003,7.298523161701447e+18,3.050267576265407e-14
94,2024-08-01,195692,547.84956891,7.298527478582083e+18,7.506302751037025e-15
96,2024-08-01,195694,1292.8269620160002,7.314583644235705e+18,1.7674648686734466e-14
100,2024-08-01,195700,1168.9710565350001,7.298976296991054e+18,1.6015548057292627e-14
109,2024-08-01,195719,162.090695457,7.298976296991054e+18,2.2207319062513004e-15
114,2024-08-01,195724,322.802639304,7.298976296991054e+18,4.422574155187665e-15
116,2024-08-01,195726,52.785052419,7.298976296991053e+18,7.231843243655996e-16
118,2024-08-01,195728,188.128428084,7.299028470601575e+18,2.5774447769552914e-15
119,2024-08-01,195729,259.52516433,7.299028470601575e+18,3.55561244041305e-15
122,2024-08-01,195733,131.06759464799998,7.299030629041894e+18,1.7956849520058054e-15
124,2024-08-01,195735,82.711002378,7.298976296991054e+18,1.133186340283047e-15
125,2024-08-01,195736,133.36074400200002,7.298976296991054e+18,1.827115729324631e-15
128,2024-08-01,195739,684.313100136,7.298976296991054e+18,9.375466809203131e-15
130,2024-08-01,195743,84.66020307299999,7.314583644235705e+18,1.1574165692905417e-15
132,2024-08-01,195746,1001.5448131920001,7.309384073074578e+18,1.370217795616144e-14
133,2024-08-01,195748,15.277287567000007,7.298976296991054e+18,2.0930726372269424e-16
136,2024-08-01,195751,135.092971617,7.298976296991054e+18,1.850848202818401e-15
138,2024-08-01,195753,251.21823713999999,7.298523161701447e+18,3.4420420621291204e-15
142,2024-08-01,195757,350.173477278,7.298523161701447e+18,4.797867589370873e-15
143,2024-08-01,195761,169.04062096500002,7.298523161701447e+18,2.316093505766075e-15
145,2024-08-01,195763,305.259898524,7.298526039621871e+18,4.182486941429275e-15
146,2024-08-01,195764,317.948857275,7.298526039621871e+18,4.356343397953714e-15
149,2024-08-01,195768,408.257056737,7.29828166964929e+18,5.593879151510171e-15
152,2024-08-01,195773,123.10433733,7.298524395095914e+18,1.68670173128033e-15
153,2024-08-01,195774,1296.4453125,7.298524395095914e+18,1.7763115423319245e-14
154,2024-08-01,195775,129.897185934,7.298524395095914e+18,1.77977326514496e-15
158,2024-08-01,195782,117.330608523,7.314130508946098e+18,1.6041634529147377e-15
160,2024-08-01,195795,372.508810716,7.308930937784971e+18,5.096625127352643e-15
161,2024-08-01,195801,54.783264678,7.2985296370224e+18,7.506068674450168e-16
162,2024-08-01,195802,351.096112011,7.298523161701447e+18,4.81050897876649e-15
163,2024-08-01,195808,291.302657349,7.314130508946098e+18,3.982738030073437e-15
164,2024-08-01,195812,593.828911068,7.298523161701447e+18,8.13628864239386e-15
166,2024-08-01,195822,82.494207306,7.298523161701447e+18,1.130286298725245e-15
167,2024-08-01,195823,569.884815054,7.298523161701447e+18,7.80822095687023e-15
168,2024-08-01,195833,774.0234375,7.298523161701447e+18,1.0605206291070508e-14
169,2024-08-01,195844,310.566355317,7.298523161701447e+18,4.255194488477859e-15
170,2024-08-01,195845,73.5,7.298523161701447e+18,1.0070530485631223e-15
171,2024-08-01,195846,597.063,7.298523161701447e+18,8.18060019502372e-15
175,2024-08-01,195853,368.91330999900003,7.298523161701447e+18,5.054629571292587e-15
178,2024-08-01,195861,205.078125,7.366113145727443e+18,2.7840751417041594e-15
180,2024-08-01,195869,39.138707694000004,7.38601117388221e+18,5.299031746986655e-16
181,2024-08-01,195870,11.101449336000005,7.367199859962146e+18,1.506875006382282e-16
182,2024-08-01,195875,545.239487271,7.377742253502718e+18,7.390329839892924e-15
184,2024-08-01,195878,384.353513583,7.374744417039341e+18,5.211753680506562e-15
185,2024-08-01,195881,334.214608203,7.374744417039341e+18,4.531880554813499e-15
186,2024-08-01,195882,1047.2759360759999,7.367199859962146e+18,1.4215386523820746e-14
187,2024-08-01,195883,18.0,7.367199859962146e+18,2.443262072720868e-16
188,2024-08-01,195884,921.31358682,7.366716875857834e+18,1.2506434037655554e-14
190,2024-08-01,195889,725.880981609,7.375106655117574e+18,9.842311651253373e-15
193,2024-08-01,195894,331.616969115,7.367199859962146e+18,4.5012620183851494e-15
196,2024-08-01,195900,242.929006287,7.38601117388221e+18,3.2890419546889537e-15
197,2024-08-01,195901,232.14460768799995,7.382807207206797e+18,3.1443948239822623e-15
198,2024-08-01,195902,233.90625,7.377604758125247e+18,3.170490391781829e-15
199,2024-08-01,195904,203.983423983,7.377604758125247e+18,2.7649004069829707e-15
201,2024-08-01,195907,492.7454211180001,7.367199859962146e+18,6.6883677718026764e-15
203,2024-08-01,195909,232.812050091,7.303725610782998e+18,3.187579360145778e-15
204,2024-08-01,195911,473.994102777,7.367199859962146e+18,6.433843411157785e-15
205,2024-08-01,195913,567.174040695,7.367199859962146e+18,7.698637901455198e-15
207,2024-08-01,195917,631.551594948,7.298523161701447e+18,8.653142299554906e-15
210,2024-08-01,195923,186.921928011,7.2985296370224e+18,2.5610902100448143e-15
212,2024-08-01,195926,118.51700741100001,7.2985296370224e+18,1.6238477242020449e-15
213,2024-08-01,195927,184.445588817,7.308930937784971e+18,2.523564532036715e-15
215,2024-08-01,195929,241.99945499700002,7.314134825826734e+18,3.3086545539532934e-15
216,2024-08-01,195930,365.284222302,7.314134825826734e+18,4.994223254022543e-15
217,2024-08-01,195931,384.343105629,7.298524395095914e+18,5.2660385144050625e-15
221,2024-08-01,195935,323.356359084,7.298531795462718e+18,4.4304302309818136e-15
225,2024-08-01,195940,70.555518126,7.298984930752326e+18,9.666483599484244e-16
226,2024-08-01,195941,717.1691572560001,7.314587961116341e+18,9.804641916515375e-15
227,2024-08-01,195944,417.67387692000005,7.309384073074578e+18,5.7142143954177525e-15
228,2024-08-01,195951,285.704674749,7.298984930752326e+18,3.9143069544541675e-15
230,2024-08-01,195956,266.40319988699997,7.298984930752326e+18,3.649866418610911e-15
231,2024-08-01,195957,197.6953125,7.298984930752326e+18,2.708531588646848e-15
232,2024-08-01,195960,18.09932445,7.298984930752326e+18,2.4797043180269255e-16
233,2024-08-01,195961,1032.520804557,7.298984930752326e+18,1.4146087632086336e-14
235,2024-08-01,195965,33.897293409,7.298984930752326e+18,4.644110616831499e-16
236,2024-08-01,195966,104.300523183,7.29898061387169e+18,1.4289738348499949e-15
237,2024-08-01,195967,91.5,7.298984930752326e+18,1.2535989712006276e-15
239,2024-08-01,195969,1966.492411851,7.299028470601575e+18,2.6941837804462277e-14
240,2024-08-01,195971,342.585364536,7.29903494592253e+18,4.693570685359972e-15
241,2024-08-01,195974,198.387691698,7.313098653658638e+18,2.712771987545245e-15
243,2024-08-01,195977,124.80039740700002,7.297495623294624e+18,1.7101811888536083e-15
244,2024-08-01,195978,469.431800715,7.297495623294624e+18,6.432779475968554e-15
246,2024-08-01,195986,927.7786351020001,7.313098653658638e+18,1.2686532467845837e-14
248,2024-08-01,196002,1697.412312357,7.297495623294623e+18,2.326020322559185e-14
250,2024-08-02,195594,262.39945419,7.313098653658638e+18,3.588074858784043e-15
252,2024-08-02,195598,239.53125,7.297495623294623e+18,3.282376069337855e-15
277,2024-08-02,195706,149.708125743,6.87591811725581e+18,2.177281974421603e-15
279,2024-08-02,195709,82.813659276,6.876158178592129e+18,1.204359427533644e-15
280,2024-08-02,195710,486.17043681300004,6.876158178592129e+18,7.070378897428765e-15
282,2024-08-02,195718,504.0,6.876638301264768e+18,7.329162563447653e-15
285,2024-08-02,195726,324.0234375,6.840255817821615e+18,4.7370075934263855e-15
286,2024-08-02,195730,453.213983433,6.8493088522487e+18,6.6169301634602894e-15
291,2024-08-02,195737,329.99083758300003,6.850749220266615e+18,4.81685764539134e-15
292,2024-08-02,195738,15.0,6.875197933246852e+18,2.1817553684474308e-16
294,2024-08-02,195741,835.5572199840001,6.875197933246852e+18,1.2153209668967354e-14
297,2024-08-02,195745,242.40910086600002,6.875558025251331e+18,3.525664389358985e-15
301,2024-08-02,195751,185.352186969,6.877118423937406e+18,2.6952013262391804e-15
304,2024-08-02,195754,216.30073709699997,6.875558025251331e+18,3.1459371923356472e-15
305,2024-08-02,195755,396.685821873,6.875197933246852e+18,5.769809476389327e-15
306,2024-08-02,195757,379.934164206,6.875197933246852e+18,5.5261560160868545e-15
310,2024-08-02,195761,313.95192632699997,6.876021000685661e+18,4.565895396417396e-15
314,2024-08-02,195766,832.7892126270002,6.878078669282683e+18,1.2107875653505022e-14
315,2024-08-02,195767,44.53882043399999,6.878078669282683e+18,6.475474122287839e-16
318,2024-08-02,195770,104.778611061,6.878078669282683e+18,1.523370349468937e-15
320,2024-08-02,195772,65.41827035400003,6.877118423937406e+18,9.512453664647763e-16
322,2024-08-02,195775,1.707025013999999,6.878078669282683e+18,2.481834093616183e-17
323,2024-08-02,195776,78.42078323699997,6.878078669282683e+18,1.1401553690745804e-15
325,2024-08-02,195778,9.985482267000004,6.877118423937406e+18,1.4519863773529356e-16
326,2024-08-02,195779,86.71438327499999,6.875558025251331e+18,1.2611977523356034e-15
329,2024-08-02,195782,1170.792121137,6.877502522075517e+18,1.7023506968975627e-14
333,2024-08-02,195786,160.51620037200001,6.878078669282683e+18,2.3337360342919763e-15
335,2024-08-02,195789,355.36097840099995,6.878078669282683e+18,5.166573333742643e-15
337,2024-08-02,195791,212.4609375,8.44236804410161e+18,2.5166035926192423e-15
339,2024-08-02,195794,35.873191611000024,8.44236804410161e+18,4.2491859420963505e-16
341,2024-08-02,195798,734.294033172,6.878078669282684e+18,1.067585976373515e-14
346,2024-08-02,195806,245.913083964,6.878078669282683e+18,3.575316535157432e-15
349,2024-08-02,195810,281.325628722,6.852189588284531e+18,4.105631128522683e-15
350,2024-08-02,195812,962.6013894360001,6.852189588284531e+18,1.4048084587177784e-14
352,2024-08-02,195815,209.24588892,6.852189588284531e+18,3.05370839822874e-15
356,2024-08-02,195826,560.83551396,6.852189588284531e+18,8.184763523164675e-15
357,2024-08-02,195833,127.738132983,6.852189588284531e+18,1.8641943766617186e-15
399,2024-08-02,196139,893.787592452,7.328701684022654e+18,1.219571529839387e-14
400,2024-08-02,196142,226.56431926199997,7.328701684022653e+18,3.0914659789732503e-15
402,2024-08-02,196146,297.035211525,7.33024100665056e+18,4.052188887862033e-15
406,2024-08-02,196151,372.59478717,7.33024100665056e+18,5.082981403093749e-15
408,2024-08-02,196153,38.98323141600001,7.33024100665056e+18,5.318137750263792e-16
409,2024-08-02,196154,84.446087994,7.33024100665056e+18,1.1520233498105175e-15
410,2024-08-02,196155,91.72150568999997,7.33024100665056e+18,1.2512754438330628e-15
412,2024-08-02,196158,1412.74910541,7.330190991480357e+18,1.9273019039367358e-14
413,2024-08-02,196159,125.9765625,7.330190991480357e+18,1.7185986374218416e-15
414,2024-08-02,196160,405.04064609999995,7.330190991480357e+18,5.525649284865368e-15
415,2024-08-02,196161,558.403661079,7.330190991480357e+18,7.61785964005596e-15
419,2024-08-02,196166,719.1796875,7.319786093317255e+18,9.825146231480582e-15
420,2024-08-02,196167,111.72539532900002,7.319786093317255e+18,1.5263478181555328e-15
422,2024-08-02,196170,527.954189217,7.314583644235705e+18,7.217829679657255e-15
423,2024-08-02,196172,65.391254262,7.314583644235705e+18,8.939846400352796e-16
426,2024-08-02,196175,172.734375,7.319786093317255e+18,2.359828180740163e-15
428,2024-08-02,196178,996.0218063400001,7.314587961116341e+18,1.361692294405041e-14
432,2024-08-02,196183,540.196548375,7.330190991480357e+18,7.369474397090785e-15
433,2024-08-02,196185,338.671875,7.314583644235705e+18,4.6300909453252624e-15
434,2024-08-02,196186,719.797273053,7.330190991480357e+18,9.819625080568803e-15
435,2024-08-02,196187,66.064518564,7.330190991480357e+18,9.012659921246887e-16
437,2024-08-02,196189,1266.9821205330002,7.314134825826734e+18,1.7322378527385025e-14
438,2024-08-02,196191,69.935326917,7.314130508946098e+18,9.561673370670694e-16
441,2024-08-02,196194,177.992005236,2.0581051882370413e+19,8.648343449756654e-16
443,2024-08-02,196196,1730.563428309,2.0581051882370413e+19,8.408527601990008e-15
446,2024-08-02,196202,65.606379975,2.0581051882370413e+19,3.187707817363697e-16
447,2024-08-02,196203,149.1796875,7.32973785619075e+18,2.035266341401306e-15
449,2024-08-02,196205,279.916151181,7.314130508946098e+18,3.827059837647515e-15
451,2024-08-02,196210,296.1328125,7.314130508946098e+18,4.0487767088349385e-15
452,2024-08-02,196211,608.485477434,7.308930937784971e+18,8.325232275602898e-15
453,2024-08-02,196215,727.271263074,7.32973785619075e+18,9.922200184277278e-15
455,2024-08-02,196220,30.382886132999992,7.314130508946098e+18,4.153998359181302e-16
458,2024-08-02,196223,586.5234375,7.303725610782998e+18,8.030469225652107e-15
460,2024-08-02,196225,150.0,7.382807207206797e+18,2.0317474883209206e-15
462,2024-08-02,196228,313.54057711499996,7.377604758125247e+18,4.249896645244994e-15
465,2024-08-02,196234,981.141120945,7.38601117388221e+18,1.3283775204868747e-14
468,2024-08-02,196239,308.94646282499997,7.377742253502718e+18,4.187547520765204e-15
469,2024-08-02,196240,61.929788060999996,7.374744417039341e+18,8.397550417870927e-16
471,2024-08-02,196246,195.29126004000003,7.382288974116535e+18,2.6454025401162413e-15
475,2024-08-02,196252,497.41148686500003,7.39882704058386e+18,6.722842474038263e-15
476,2024-08-02,196253,10.959076221,7.39882704058386e+18,1.4811910267516123e-16
477,2024-08-02,196254,464.525469492,7.39882704058386e+18,6.278366380833024e-15
478,2024-08-02,196259,218.57187054299996,7.398827040583861e+18,2.9541421815119477e-15
480,2024-08-02,196262,150.509484726,7.398827040583861e+18,2.0342343982421693e-15
481,2024-08-02,196263,177.088676415,7.398827040583861e+18,2.3934696059745366e-15
485,2024-08-02,196268,113.12581700999999,7.398826736799894e+18,1.5289696736286684e-15
487,2024-08-02,196270,37.086646839000004,7.398826736799894e+18,5.01250376016246e-16
492,2024-08-02,196275,129.457217595,7.545520433212078e+18,1.7156830829744493e-15
494,2024-08-02,196278,86.169007008,9.818533982293811e+18,8.776158147783805e-16
500,2024-08-02,196291,100.548737097,9.158907651574156e+18,1.0978245542165557e-15
502,2024-08-02,196299,63.320537928,7.398826433015926e+18,8.558186693695577e-16
503,2024-08-02,196300,15.162682313999998,7.398826433015926e+18,2.04933612800258e-16
505,2024-08-02,196302,36.089603187,7.398826433015926e+18,4.877746966188674e-16
508,2024-08-02,196305,147.567579366,7.398826433015927e+18,1.994472781622587e-15
509,2024-08-02,196306,70.566042396,7.398826433015926e+18,9.537464222854559e-16
513,2024-08-02,196313,23.117438268,7.398826433015926e+18,3.1244736550167753e-16
514,2024-08-02,196316,59.933009420999994,7.398826433015926e+18,8.100339961153808e-16
516,2024-08-02,196321,138.874661898,4.302560430261227e+19,3.2277213568286435e-16
517,2024-08-02,196322,29.131911864,4.302560430261227e+19,6.770831540007278e-17
518,2024-08-02,196325,27.191370834,4.302560430261227e+19,6.319811487772432e-17
520,2024-08-02,196328,69.489757506,7.398826433015926e+18,9.391997249173804e-16
525,2024-08-03,196234,156.276896784,7.34331966727752e+18,2.128150534973762e-15
526,2024-08-03,196236,232.406166471,7.34331966727752e+18,3.1648651699941973e-15
527,2024-08-03,196241,18.062635016999998,7.34331966727752e+18,2.4597369902727633e-16
529,2024-08-03,196243,135.8203125,7.34331966727752e+18,1.8495764675100184e-15
531,2024-08-03,196245,218.156240643,7.34331966727752e+18,2.97081225559502e-15
533,2024-08-03,196249,123.515625,7.34331966727752e+18,1.6820134570798616e-15
534,2024-08-03,196251,57.26603255099999,7.34331966727752e+18,7.798384810371593e-16
535,2024-08-03,196254,123.8671875,7.34331966727752e+18,1.6868009716635802e-15
538,2024-08-03,196265,19.185215175,7.34331966727752e+18,2.6126079272418183e-16
539,2024-08-03,196266,91.496780094,7.34331966727752e+18,1.2459866142245955e-15
542,2024-08-03,196274,37.2,7.343942323274118e+18,5.065399258666194e-16
543,2024-08-03,196276,9.0,7.343942323274118e+18,1.2254998206450467e-16
544,2024-08-03,196277,38.705779647,7.343942323274118e+18,5.270436223925022e-16
545,2024-08-03,196280,28.781606427,7.343942323274118e+18,3.9190948349072034e-16
546,2024-08-03,196283,61.5,7.343942323274118e+18,8.37424877440782e-16
549,2024-08-03,196287,93.927523521,7.343942323274118e+18,1.278979591429099e-15
551,2024-08-03,196290,11.273835918,7.375486130205296e+18,1.5285549615271521e-16
552,2024-08-03,196291,1.945737864,7.344462032571693e+18,2.649258523457425e-17
553,2024-08-03,196292,91.03282499400001,7.344395458563725e+18,1.2394869735378117e-15
556,2024-08-03,196297,45.435037851000004,7.352812683228034e+18,6.179273131034409e-16
557,2024-08-03,196298,43.704572580000004,7.345198208551743e+18,5.950087572737844e-16
559,2024-08-03,196300,0.590182068,7.345198208551743e+18,8.03493726435963e-18
561,2024-08-03,196302,44.39414379,2.5765821227945353e+19,1.7229857879263152e-16
563,2024-08-03,196306,13.638393048000001,7.344607726863642e+18,1.8569260000253258e-16
565,2024-08-03,196308,63.363783408,7.34444547373393e+18,8.627442825276464e-16
567,2024-08-03,196312,58.679278845,7.34444547373393e+18,7.989613246480723e-16
569,2024-08-03,196314,13.731635565,7.479323769902172e+18,1.8359461346302446e-16
570,2024-08-03,196315,42.57440675400001,7.344445473733929e+18,5.796817051234109e-16
572,2024-08-03,196317,15.349571826,7.345789450229177e+18,2.0895741608168634e-16
574,2024-08-03,196319,12.475249074,7.345198208551743e+18,1.6984223869514545e-16
575,2024-08-03,196320,20.968018869,7.345198208551743e+18,2.8546566441988877e-16
577,2024-08-03,196324,17.814423546,7.360025608897805e+18,2.4204295599818963e-16
579,2024-08-03,196326,19.779841320000003,7.351113115566321e+18,2.6907273781592716e-16
580,2024-08-03,196327,85.92514566,7.351113115566321e+18,1.168872581732548e-15
585,2024-08-03,196335,49.095887124,7.344552935289454e+18,6.684666521784024e-16
589,2024-08-03,196339,16.868977704000006,7.344462032571693e+18,2.2968295879518987e-16
591,2024-08-03,196342,20.033356820999998,7.344589428354144e+18,2.7276346780747543e-16
593,2024-08-03,196346,18.080221641,7.367841274992126e+18,2.4539374514442593e-16
594,2024-08-03,196347,33.903012690000004,7.344650771272092e+18,4.616014259331218e-16
596,2024-08-03,196350,99.71484375,7.344650771272092e+18,1.3576526216879529e-15
597,2024-08-03,196351,34.635507123,7.344650771272092e+18,4.71574594921157e-16
600,2024-08-03,196354,15.0,7.344650771272092e+18,2.042302686285791e-16
602,2024-08-03,196356,100.11484935300001,7.36011065542778e+18,1.3602356545980653e-15
605,2024-08-03,196359,5.072684628000001,7.367840858077355e+18,6.884899831188432e-17
608,2024-08-03,196363,2.82696525,7.344552935289454e+18,3.849063755013412e-17
611,2024-08-03,196366,23.186506134,7.344589428354144e+18,3.156950617891228e-16
613,2024-08-03,196369,24.708458973000003,7.346201733043022e+18,3.3634332231664703e-16
614,2024-08-03,196372,50.21318966100001,7.352812683228034e+18,6.829113133201075e-16
617,2024-08-03,196378,73.90410591,7.345684456063217e+18,1.0060887634371314e-15
619,2024-08-03,196384,37.734375,7.344607726863642e+18,5.137697805422981e-16
621,2024-08-03,196387,44.58984375,7.344607726863642e+18,6.071099425352311e-16
624,2024-08-03,196391,18.858813108,7.479323769902172e+18,2.5214596517255287e-16
625,2024-08-03,196392,60.640755006,7.346251748213225e+18,8.254652451945879e-16
626,2024-08-03,196397,39.500471505,7.344700091286322e+18,5.378091823226786e-16
631,2024-08-03,196408,40.360561608,7.344700265298832e+18,5.495195195192606e-16
633,2024-08-03,196410,41.854944525,7.344700265298832e+18,5.698659307140161e-16
635,2024-08-03,196413,41.45473311,7.344699917273812e+18,5.644169751919159e-16
636,2024-08-03,196414,107.07758804699999,7.344699917273812e+18,1.4578892160749406e-15
638,2024-08-03,196416,12.701908332,7.344699917273812e+18,1.7293978617324728e-16
639,2024-08-03,196417,28.163047803,7.344699917273812e+18,3.8344722208138214e-16
640,2024-08-03,196419,2.756738415,7.344699917273812e+18,3.7533710649178433e-17
642,2024-08-03,196422,173.492294913,7.344699917273812e+18,2.3621427269610826e-15
644,2024-08-03,196425,27.335630448,7.344699917273812e+18,3.72181719551401e-16
649,2024-08-03,196436,25.967383794000003,7.344699917273812e+18,3.535526854259624e-16
650,2024-08-03,196438,32.432966193,7.679834939675239e+18,4.223133237596836e-16
652,2024-08-03,196441,15.453465069000002,7.513043256937978e+18,2.0568848788045218e-16
653,2024-08-03,196442,18.200699469,7.513043256937978e+18,2.4225468756874813e-16
654,2024-08-03,196444,13.027344348000002,7.345412134852293e+18,1.7735348417263403e-16
655,2024-08-03,196445,6.737335932000006,7.479323769902172e+18,9.007947963306487e-17
657,2024-08-03,196447,28.319046176999997,7.360627642386734e+18,3.8473683974886346e-16
658,2024-08-03,196448,16.948983624,7.360627642386734e+18,2.3026546712399894e-16
659,2024-08-03,196449,2.967120549,7.367840684064845e+18,4.027123652954771e-17
660,2024-08-03,196450,80.965412019,7.345684456063217e+18,1.10221739721164e-15
662,2024-08-03,196453,93.50673407699999,7.360025608897805e+18,1.2704675098406759e-15
663,2024-08-03,196454,61.462954443,7.345198208551743e+18,8.367773434819083e-16
664,2024-08-03,196455,56.870873568,7.344649902103607e+18,7.743170106952466e-16
667,2024-08-03,196461,15.073460084999997,7.360627642386734e+18,2.0478498325602468e-16
668,2024-08-03,196462,89.720954502,7.344607726863642e+18,1.221589468608876e-15
669,2024-08-03,196463,30.0,7.345789450229177e+18,4.083972213369667e-16
672,2024-08-03,196467,15.497063589000001,7.344663617914545e+18,2.1099759492321392e-16
673,2024-08-03,196468,28.224829764000003,7.344663617914545e+18,3.8429029881172696e-16
675,2024-08-03,196471,302.18813732399997,7.345412134852293e+18,4.113971166984446e-15
678,2024-08-03,196474,101.52298919100001,7.513043256937978e+18,1.3512898264927175e-15
684,2024-08-03,196486,126.34842141,7.345789450229177e+18,1.7200114741385367e-15
690,2024-08-03,196497,223.852132932,7.347753215957415e+18,3.046538531613326e-15
693,2024-08-03,196501,174.437833632,7.369392340991749e+18,2.367058579059515e-15
694,2024-08-03,196504,90.968907459,7.346201733043022e+18,1.2383121341444279e-15
700,2024-08-03,196513,192.73061298300001,8.014969962076668e+18,2.4046330041773952e-15
701,2024-08-03,196514,40.921820172000004,8.014969962076668e+18,5.105673554064976e-16
703,2024-08-03,196517,202.388371005,7.8809160227211e+18,2.5680818120825496e-15
714,2024-08-03,196539,189.47230031700002,7.360627642386734e+18,2.5741323909106522e-15
718,2024-08-03,196551,27.558113180999996,7.352812683228034e+18,3.7479688886758673e-16
719,2024-08-03,196553,112.316559669,7.369392340991749e+18,1.524095264194942e-15
720,2024-08-03,196564,81.872752371,7.367840858077355e+18,1.1112177087978631e-15
721,2024-08-03,196565,107.875259766,7.367841274992126e+18,1.4641365868202052e-15
722,2024-08-03,196566,125.01258324599999,7.36011065542778e+18,1.6985149965620197e-15
723,2024-08-03,196568,9.916574880000002,7.391031466026082e+18,1.3417037832382307e-16
725,2024-08-03,196570,28.080000000000002,7.375486130205296e+18,3.8072066714358257e-16
726,2024-08-03,196571,183.16187290500002,7.391031466026082e+18,2.478163890208415e-15
727,2024-08-03,196572,34.89510654,7.390578330736475e+18,4.721566429365303e-16
729,2024-08-03,196574,103.99843053000001,7.390578330736475e+18,1.4071758105517097e-15
732,2024-08-03,196577,72.403568373,7.391031466026082e+18,9.796138564125076e-16
736,2024-08-03,196582,17.555920611,7.391031466026082e+18,2.3753004829837706e-16
737,2024-08-03,196584,119.261855514,7.391031466026082e+18,1.6136023241438483e-15
